Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.1,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.1,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.1,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.1,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.382656,0,0,0,0,0,0,-60.71448044,-28.06807841,6.917088386
00:00.2,8.015358,0,0,0,0,0,0,-25.88251862,-25.37997721,25.47214208
00:00.2,8.015358,0,0,0,0,0,0,-25.88251862,-25.37997721,25.47214208
00:00.2,8.907881,0,0,0,0,0,0,-41.30972176,-25.72745967,20.06493232
00:00.2,8.907881,0,0,0,0,0,0,-41.30972176,-25.72745967,20.06493232
00:00.2,9.564112,291.15344,-26.232437,-12.318203,0,0,0,-25.9726959,-29.78803274,22.72157367
00:00.2,9.564112,291.15344,-26.232437,-12.318203,0,0,0,-25.9726959,-29.78803274,22.72157367
00:00.2,9.564112,291.15344,-26.232437,-12.318203,0,0,0,-25.9726959,-29.78803274,22.72157367
00:00.3,6.9074807,291.93506,-26.853226,-10.791169,0,0,0,-36.26563047,-30.97625685,17.0169143
00:00.3,6.9074807,291.93506,-26.853226,-10.791169,0,0,0,-36.26563047,-30.97625685,17.0169143
00:00.3,6.9074807,291.93506,-26.853226,-10.791169,0,0,0,-36.26563047,-30.97625685,17.0169143
00:00.3,6.9074807,291.93506,-26.853226,-10.791169,0,0,0,-36.26563047,-30.97625685,17.0169143
00:00.3,4.430311,292.34348,-26.598341,-10.25849,0,0,0,-68.37838299,-31.95844147,-7.758261614
00:00.3,4.430311,292.34348,-26.598341,-10.25849,0,0,0,-68.37838299,-31.95844147,-7.758261614
00:00.3,4.430311,292.34348,-26.598341,-10.25849,0,0,0,-68.37838299,-31.95844147,-7.758261614
00:00.3,4.430311,292.34348,-26.598341,-10.25849,0,0,0,-68.37838299,-31.95844147,-7.758261614
