Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.1,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.1,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.1,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.1,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,7.2376904,0,0,0,0,0,0,-70.68218531,-42.47458662,6.787306681
00:00.2,8.043473,0,0,0,0,0,0,-75.37675874,-38.28080266,5.783993727
00:00.2,8.043473,0,0,0,0,0,0,-75.37675874,-38.28080266,5.783993727
00:00.2,8.043473,0,0,0,0,0,0,-75.37675874,-38.28080266,5.783993727
00:00.2,8.043473,0,0,0,0,0,0,-75.37675874,-38.28080266,5.783993727
00:00.2,8.816355,0,0,0,0,0,0,-81.83788547,-35.13735835,3.428672147
00:00.2,8.816355,0,0,0,0,0,0,-81.83788547,-35.13735835,3.428672147
00:00.2,8.813962,285.23132,-41.10571,-3.9893174,0,0,0,-81.78089437,-35.02428799,2.083412603
00:00.2,8.813962,285.23132,-41.10571,-3.9893174,0,0,0,-81.78089437,-35.02428799,2.083412603
00:00.3,8.53161,285.86807,-40.788708,-3.23859,0,0,0,-76.52374557,-36.42168664,2.934132087
00:00.3,8.53161,285.86807,-40.788708,-3.23859,0,0,0,-76.52374557,-36.42168664,2.934132087
00:00.3,7.8287177,286.4953,-40.733044,-2.3886316,0,0,0,-70.36907577,-38.76385071,3.650738246
00:00.3,6.6352973,286.9421,-40.784603,-1.5986629,0,0,0,-57.06792099,-43.81842975,4.099566198
