Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.4,10.838888,318.70276,-0.16869445,-21.964836,0,0,0,-34.87575528,-17.19993434,19.71529835
00:00.4,10.838888,318.70276,-0.16869445,-21.964836,0,0,0,-34.87575528,-17.19993434,19.71529835
00:00.4,10.838888,318.70276,-0.16869445,-21.964836,0,0,0,-34.87575528,-17.19993434,19.71529835
00:00.4,10.838888,318.70276,-0.16869445,-21.964836,0,0,0,-34.87575528,-17.19993434,19.71529835
00:00.4,10.838888,318.70276,-0.16869445,-21.964836,0,0,0,-34.87575528,-17.19993434,19.71529835
00:00.4,10.799407,318.1429,-0.45519018,-21.486446,0,0,0,-52.77040353,-11.14021954,14.1340272
00:00.4,10.799407,318.1429,-0.45519018,-21.486446,0,0,0,-52.77040353,-11.14021954,14.1340272
00:00.4,10.799407,318.1429,-0.45519018,-21.486446,0,0,0,-52.77040353,-11.14021954,14.1340272
00:00.4,10.799407,318.1429,-0.45519018,-21.486446,0,0,0,-52.77040353,-11.14021954,14.1340272
00:00.4,10.799407,318.1429,-0.45519018,-21.486446,0,0,0,-52.77040353,-11.14021954,14.1340272
00:00.4,10.8682,317.48956,-0.78183335,-19.161436,0,0,0,-53.9571045,-5.469254341,19.02045467
00:00.4,10.8682,317.48956,-0.78183335,-19.161436,0,0,0,-53.9571045,-5.469254341,19.02045467
00:00.4,10.8682,317.48956,-0.78183335,-19.161436,0,0,0,-53.9571045,-5.469254341,19.02045467
00:00.4,10.8682,317.48956,-0.78183335,-19.161436,0,0,0,-53.9571045,-5.469254341,19.02045467
00:00.4,10.8682,317.48956,-0.78183335,-19.161436,0,0,0,-53.9571045,-5.469254341,19.02045467
00:00.4,12.562319,317.20187,-1.7243483,-15.365121,0,0,0,-59.60904847,-5.633373542,14.23123531
00:00.4,12.562319,317.20187,-1.7243483,-15.365121,0,0,0,-59.60904847,-5.633373542,14.23123531
00:00.4,12.562319,317.20187,-1.7243483,-15.365121,0,0,0,-59.60904847,-5.633373542,14.23123531
00:00.4,12.562319,317.20187,-1.7243483,-15.365121,0,0,0,-59.60904847,-5.633373542,14.23123531
00:00.4,12.562319,317.20187,-1.7243483,-15.365121,0,0,0,-59.60904847,-5.633373542,14.23123531
00:00.4,10.990234,318.15323,-3.6360228,-10.449221,0,0,0,-61.24942768,-13.10198391,-0.218304225
00:00.4,10.990234,318.15323,-3.6360228,-10.449221,0,0,0,-61.24942768,-13.10198391,-0.218304225
00:00.4,10.990234,318.15323,-3.6360228,-10.449221,0,0,0,-61.24942768,-13.10198391,-0.218304225
00:00.4,10.990234,318.15323,-3.6360228,-10.449221,0,0,0,-61.24942768,-13.10198391,-0.218304225
00:00.4,10.990234,318.15323,-3.6360228,-10.449221,0,0,0,-61.24942768,-13.10198391,-0.218304225
00:00.4,10.990234,318.15323,-3.6360228,-10.449221,0,0,0,-61.24942768,-13.10198391,-0.218304225
00:00.5,5.9712887,320.44327,-4.840882,-4.387286,0,0,0,-48.84641545,-23.49916168,-5.334131855
00:00.5,5.9712887,320.44327,-4.840882,-4.387286,0,0,0,-48.84641545,-23.49916168,-5.334131855
00:00.5,5.9712887,320.44327,-4.840882,-4.387286,0,0,0,-48.84641545,-23.49916168,-5.334131855
00:00.5,5.9712887,320.44327,-4.840882,-4.387286,0,0,0,-48.84641545,-23.49916168,-5.334131855
00:00.5,0.38703907,322.8658,-4.531594,-0.117812194,0,0,0,34.7458041,-79.57630055,56.59390927
00:00.5,0.38703907,322.8658,-4.531594,-0.117812194,0,0,0,34.7458041,-79.57630055,56.59390927
00:00.5,0.38703907,322.8658,-4.531594,-0.117812194,0,0,0,34.7458041,-79.57630055,56.59390927
00:00.5,0.38703907,322.8658,-4.531594,-0.117812194,0,0,0,34.7458041,-79.57630055,56.59390927
00:00.5,4.621737,324.00348,-2.7252655,1.0148312,0,0,0,-17.58021024,-34.30893837,5.559297152
00:00.5,4.621737,324.00348,-2.7252655,1.0148312,0,0,0,-17.58021024,-34.30893837,5.559297152
00:00.5,4.621737,324.00348,-2.7252655,1.0148312,0,0,0,-17.58021024,-34.30893837,5.559297152
00:00.5,4.621737,324.00348,-2.7252655,1.0148312,0,0,0,-17.58021024,-34.30893837,5.559297152
00:00.5,4.9106703,324.1266,-0.24325216,1.3495498,0,0,0,-27.67039065,-22.72407523,-0.300121314
00:00.5,4.9106703,324.1266,-0.24325216,1.3495498,0,0,0,-27.67039065,-22.72407523,-0.300121314
00:00.5,4.9106703,324.1266,-0.24325216,1.3495498,0,0,0,-27.67039065,-22.72407523,-0.300121314
00:00.5,4.9106703,324.1266,-0.24325216,1.3495498,0,0,0,-27.67039065,-22.72407523,-0.300121314
00:00.5,4.9106703,324.1266,-0.24325216,1.3495498,0,0,0,-27.67039065,-22.72407523,-0.300121314
00:00.5,4.9106703,324.1266,-0.24325216,1.3495498,0,0,0,-27.67039065,-22.72407523,-0.300121314
00:00.5,5.0362935,323.75653,3.1100006,1.714692,0,0,0,-53.13140293,-16.09260358,-15.942698
00:00.5,5.0362935,323.75653,3.1100006,1.714692,0,0,0,-53.13140293,-16.09260358,-15.942698
00:00.5,5.0362935,323.75653,3.1100006,1.714692,0,0,0,-53.13140293,-16.09260358,-15.942698
00:00.5,5.0362935,323.75653,3.1100006,1.714692,0,0,0,-53.13140293,-16.09260358,-15.942698
00:00.5,5.0362935,323.75653,3.1100006,1.714692,0,0,0,-53.13140293,-16.09260358,-15.942698
00:00.5,5.0362935,323.75653,3.1100006,1.714692,0,0,0,-53.13140293,-16.09260358,-15.942698
00:00.5,7.512865,323.1061,7.184275,3.0656536,0,0,0,-46.22426143,-18.30705507,-15.30529109
00:00.5,7.512865,323.1061,7.184275,3.0656536,0,0,0,-46.22426143,-18.30705507,-15.30529109
00:00.6,7.512865,323.1061,7.184275,3.0656536,0,0,0,-46.22426143,-18.30705507,-15.30529109
00:00.6,7.512865,323.1061,7.184275,3.0656536,0,0,0,-46.22426143,-18.30705507,-15.30529109
00:00.6,7.512865,323.1061,7.184275,3.0656536,0,0,0,-46.22426143,-18.30705507,-15.30529109
00:00.6,10.524831,321.92188,11.432655,6.1986966,0,0,0,-59.50923209,-6.448854159,-21.12845254
00:00.6,10.524831,321.92188,11.432655,6.1986966,0,0,0,-59.50923209,-6.448854159,-21.12845254
00:00.6,10.524831,321.92188,11.432655,6.1986966,0,0,0,-59.50923209,-6.448854159,-21.12845254
00:00.6,10.524831,321.92188,11.432655,6.1986966,0,0,0,-59.50923209,-6.448854159,-21.12845254
00:00.6,10.524831,321.92188,11.432655,6.1986966,0,0,0,-59.50923209,-6.448854159,-21.12845254
00:00.6,10.524831,321.92188,11.432655,6.1986966,0,0,0,-59.50923209,-6.448854159,-21.12845254
00:00.6,10.895718,320.38986,15.344345,10.816788,0,0,0,-64.15100133,-4.869954333,-37.22757383
00:00.6,10.895718,320.38986,15.344345,10.816788,0,0,0,-64.15100133,-4.869954333,-37.22757383
00:00.6,10.895718,320.38986,15.344345,10.816788,0,0,0,-64.15100133,-4.869954333,-37.22757383
00:00.6,10.895718,320.38986,15.344345,10.816788,0,0,0,-64.15100133,-4.869954333,-37.22757383
00:00.6,10.895718,320.38986,15.344345,10.816788,0,0,0,-64.15100133,-4.869954333,-37.22757383
00:00.6,10.020543,319.1905,18.377499,15.385631,0,0,0,-62.69692235,-2.716228135,-46.14294803
00:00.6,10.020543,319.1905,18.377499,15.385631,0,0,0,-62.69692235,-2.716228135,-46.14294803
00:00.6,10.020543,319.1905,18.377499,15.385631,0,0,0,-62.69692235,-2.716228135,-46.14294803
00:00.6,10.020543,319.1905,18.377499,15.385631,0,0,0,-62.69692235,-2.716228135,-46.14294803
00:00.6,9.834501,318.23785,20.844784,20.572523,0,0,0,-70.66909866,15.21168164,-47.54908591
00:00.6,9.834501,318.23785,20.844784,20.572523,0,0,0,-70.66909866,15.21168164,-47.54908591
00:00.6,9.834501,318.23785,20.844784,20.572523,0,0,0,-70.66909866,15.21168164,-47.54908591
00:00.6,9.834501,318.23785,20.844784,20.572523,0,0,0,-70.66909866,15.21168164,-47.54908591
00:00.6,9.834501,318.23785,20.844784,20.572523,0,0,0,-70.66909866,15.21168164,-47.54908591
00:00.6,9.834501,318.23785,20.844784,20.572523,0,0,0,-70.66909866,15.21168164,-47.54908591
00:00.6,7.501499,318.4795,23.277636,28.0102,0,0,0,-73.00197709,24.13809856,-64.45193946
