Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.1,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.1,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.1,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.1,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,7.8460655,0,0,0,0,0,0,-82.40927177,-35.07422009,-3.011411622
00:00.2,10.228719,0,0,0,0,0,0,-107.9593087,-24.04964761,-28.1077806
00:00.2,10.228719,0,0,0,0,0,0,-107.9593087,-24.04964761,-28.1077806
00:00.2,7.7814593,0,0,0,0,0,0,-90.56398488,-38.48512777,-24.96116709
00:00.2,7.7814593,0,0,0,0,0,0,-90.56398488,-38.48512777,-24.96116709
00:00.2,7.7814593,0,0,0,0,0,0,-90.56398488,-38.48512777,-24.96116709
00:00.2,7.7814593,0,0,0,0,0,0,-90.56398488,-38.48512777,-24.96116709
00:00.2,5.907879,279.12482,-40.67801,6.624906,0,0,0,61.73472628,-39.66636459,46.25109725
00:00.2,5.907879,279.12482,-40.67801,6.624906,0,0,0,61.73472628,-39.66636459,46.25109725
00:00.2,5.907879,279.12482,-40.67801,6.624906,0,0,0,61.73472628,-39.66636459,46.25109725
00:00.2,6.876972,280.73978,-40.581913,6.151152,0,0,0,22.38694733,-39.27628565,31.37025631
00:00.2,6.876972,280.73978,-40.581913,6.151152,0,0,0,22.38694733,-39.27628565,31.37025631
00:00.2,6.876972,280.73978,-40.581913,6.151152,0,0,0,22.38694733,-39.27628565,31.37025631
00:00.3,6.876972,280.73978,-40.581913,6.151152,0,0,0,22.38694733,-39.27628565,31.37025631
00:00.3,6.876972,280.73978,-40.581913,6.151152,0,0,0,22.38694733,-39.27628565,31.37025631
