Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,8.079366,0,0,0,0,0,0,-65.80916635,-14.74718438,9.350841455
00:00.2,9.488738,0,0,0,0,0,0,-69.41291759,-6.205446708,12.70805787
00:00.3,9.488738,0,0,0,0,0,0,-69.41291759,-6.205446708,12.70805787
00:00.3,9.488738,0,0,0,0,0,0,-69.41291759,-6.205446708,12.70805787
00:00.3,9.488738,0,0,0,0,0,0,-69.41291759,-6.205446708,12.70805787
00:00.3,9.488738,0,0,0,0,0,0,-69.41291759,-6.205446708,12.70805787
00:00.3,10.836495,0,0,0,0,0,0,-69.14545421,-4.6131516,10.37942184
00:00.3,10.836495,0,0,0,0,0,0,-69.14545421,-4.6131516,10.37942184
00:00.3,12.120843,292.90866,-13.241666,-8.996897,0,0,0,-60.36658475,-5.274331841,13.66705058
00:00.3,12.120843,292.90866,-13.241666,-8.996897,0,0,0,-60.36658475,-5.274331841,13.66705058
00:00.3,12.120843,292.90866,-13.241666,-8.996897,0,0,0,-60.36658475,-5.274331841,13.66705058
00:00.3,12.120843,292.90866,-13.241666,-8.996897,0,0,0,-60.36658475,-5.274331841,13.66705058
00:00.3,12.120843,292.90866,-13.241666,-8.996897,0,0,0,-60.36658475,-5.274331841,13.66705058
00:00.3,11.81516,293.7349,-12.22318,-9.989156,0,0,0,-48.03733173,-6.236960347,18.33655295
00:00.3,11.392827,293.7349,-12.22318,-9.989156,0,0,0,-44.08978975,-5.338367853,20.90373248
00:00.3,11.392827,293.18317,-11.802316,-10.742654,0,0,0,-44.08978975,-5.338367853,20.90373248
00:00.3,11.392827,293.18317,-11.802316,-10.742654,0,0,0,-44.08978975,-5.338367853,20.90373248
00:00.3,11.81516,293.18317,-11.802316,-10.742654,0,0,0,-40.7994998,-4.274676026,25.23059414
00:00.3,11.81516,291.15573,-12.011797,-11.50548,0,0,0,-40.7994998,-4.274676026,25.23059414
