Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,10.892129,0,0,0,0,0,0,-59.42816457,-26.29929847,17.5887975
00:00.2,11.556735,0,0,0,0,0,0,-79.18199373,-13.52120128,1.384746683
00:00.3,11.556735,0,0,0,0,0,0,-79.18199373,-13.52120128,1.384746683
00:00.3,11.556735,0,0,0,0,0,0,-79.18199373,-13.52120128,1.384746683
00:00.3,11.556735,0,0,0,0,0,0,-79.18199373,-13.52120128,1.384746683
00:00.3,11.556735,0,0,0,0,0,0,-79.18199373,-13.52120128,1.384746683
00:00.3,12.74537,0,0,0,0,0,0,-75.16383442,-10.30265649,10.34696393
00:00.3,12.74537,0,0,0,0,0,0,-75.16383442,-10.30265649,10.34696393
00:00.3,12.554543,284.50482,-20.736662,-8.4499655,0,0,0,-71.05777058,-6.914426747,16.90415471
00:00.3,10.494322,288.41595,-20.598652,-4.1199965,0,0,0,-15.83621194,-8.943469336,29.46695921
00:00.3,10.494322,288.41595,-20.598652,-4.1199965,0,0,0,-15.83621194,-8.943469336,29.46695921
00:00.3,10.494322,288.41595,-20.598652,-4.1199965,0,0,0,-15.83621194,-8.943469336,29.46695921
00:00.3,10.494322,288.41595,-20.598652,-4.1199965,0,0,0,-15.83621194,-8.943469336,29.46695921
00:00.3,10.494322,288.41595,-20.598652,-4.1199965,0,0,0,-15.83621194,-8.943469336,29.46695921
00:00.3,6.7172513,290.75583,-20.359043,-1.2306684,0,0,0,53.4373715,-19.98496788,55.84673781
