Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,6.9248285,0,0,0,0,0,0,0,0,0
00:00.2,6.9248285,0,0,0,0,0,0,0,0,0
00:00.2,6.9248285,0,0,0,0,0,0,0,0,0
00:00.2,6.9248285,0,0,0,0,0,0,0,0,0
00:00.2,6.9248285,0,0,0,0,0,0,0,0,0
00:00.2,6.9248285,0,0,0,0,0,0,0,0,0
00:00.2,6.9248285,0,0,0,0,0,0,0,0,0
00:00.2,6.9248285,0,0,0,0,0,0,0,0,0
00:00.2,6.9248285,0,0,0,0,0,0,0,0,0
00:00.2,8.222337,0,0,0,0,0,0,-47.52208617,-33.79197843,-3.903020247
00:00.2,5.2169514,0,0,0,0,0,0,-47.52208617,-33.79197843,-3.903020247
00:00.2,5.2169514,0,0,0,0,0,0,-47.52208617,-33.79197843,-3.903020247
00:00.2,5.2169514,0,0,0,0,0,0,-47.52208617,-33.79197843,-3.903020247
00:00.2,5.2169514,0,0,0,0,0,0,-47.52208617,-33.79197843,-3.903020247
00:00.3,5.2169514,0,0,0,0,0,0,-47.52208617,-33.79197843,-3.903020247
00:00.3,5.2169514,0,0,0,0,0,0,-47.52208617,-33.79197843,-3.903020247
00:00.3,6.1453667,0,0,0,0,0,0,-42.88573327,-34.13370304,-4.319794549
00:00.3,6.1453667,0,0,0,0,0,0,-42.88573327,-34.13370304,-4.319794549
00:00.3,6.1453667,0,0,0,0,0,0,-42.88573327,-34.13370304,-4.319794549
00:00.3,5.5244293,0,0,0,0,0,0,-75.78303205,-24.5631361,-24.42993034
00:00.3,5.5244293,0,0,0,0,0,0,-75.78303205,-24.5631361,-24.42993034
00:00.3,5.633901,302.38922,-35.299507,5.639694,0,0,0,-82.73530402,-21.89058554,-33.95179802
00:00.3,5.633901,302.38922,-35.299507,5.639694,0,0,0,-82.73530402,-21.89058554,-33.95179802
00:00.3,6.734001,300.44122,-32.659683,2.201881,0,0,0,-59.96873306,-29.03456726,-13.63675442
00:00.3,6.734001,300.44122,-32.659683,2.201881,0,0,0,-59.96873306,-29.03456726,-13.63675442
00:00.3,9.153743,297.4318,-29.686832,-2.1685615,0,0,0,-24.19953098,-21.81194786,13.83343143
00:00.3,9.153743,297.4318,-29.686832,-2.1685615,0,0,0,-24.19953098,-21.81194786,13.83343143
00:00.4,12.284153,294.64117,-26.901466,-6.429888,0,0,0,-96.80726273,1.36022513,2.317352345
00:00.4,15.446268,293.4203,-24.816553,-9.154877,0,0,0,-86.21579767,-0.691265837,5.532362301
00:00.4,15.446268,293.4203,-24.816553,-9.154877,0,0,0,-86.21579767,-0.691265837,5.532362301
00:00.4,15.637694,293.72864,-23.860802,-9.312759,0,0,0,-85.55597407,0.84846803,6.944476591
