Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,8.346166,0,0,0,0,0,0,0,0,0
00:00.1,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,8.346166,0,0,0,0,0,0,0,0,0
00:00.2,9.166306,0,0,0,0,0,0,-51.56784969,-27.38628893,2.219974124
00:00.2,9.166306,0,0,0,0,0,0,-51.56784969,-27.38628893,2.219974124
00:00.2,9.166306,0,0,0,0,0,0,-51.56784969,-27.38628893,2.219974124
00:00.2,9.369097,311.58972,-30.232498,-2.2676854,0,0,0,-63.6364217,-23.69785359,-1.221676023
00:00.2,8.576474,311.351,-30.006554,-2.1084735,0,0,0,-65.67453649,-23.98201507,-2.711501004
00:00.3,8.576474,311.351,-30.006554,-2.1084735,0,0,0,-65.67453649,-23.98201507,-2.711501004
00:00.3,8.576474,311.351,-30.006554,-2.1084735,0,0,0,-65.67453649,-23.98201507,-2.711501004
00:00.3,8.576474,311.351,-30.006554,-2.1084735,0,0,0,-65.67453649,-23.98201507,-2.711501004
00:00.3,7.9794655,311.29578,-29.412323,-2.1884098,0,0,0,-64.5605463,-24.66663738,-2.566905259
00:00.3,7.9794655,311.29578,-29.412323,-2.1884098,0,0,0,-64.5605463,-24.66663738,-2.566905259
00:00.3,9.899107,311.49454,-28.521982,-2.0707526,0,0,0,-63.4118041,-24.37676927,-1.177050128
00:00.3,9.899107,311.49454,-28.521982,-2.0707526,0,0,0,-63.4118041,-24.37676927,-1.177050128
