Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,7.82453,0,0,0,0,0,0,0,0,0
00:00.1,7.82453,0,0,0,0,0,0,0,0,0
00:00.1,7.82453,0,0,0,0,0,0,0,0,0
00:00.1,7.82453,0,0,0,0,0,0,0,0,0
00:00.1,7.82453,0,0,0,0,0,0,0,0,0
00:00.2,7.82453,0,0,0,0,0,0,0,0,0
00:00.2,7.82453,0,0,0,0,0,0,0,0,0
00:00.2,7.82453,0,0,0,0,0,0,0,0,0
00:00.2,7.82453,0,0,0,0,0,0,0,0,0
00:00.2,7.82453,0,0,0,0,0,0,0,0,0
00:00.2,7.82453,0,0,0,0,0,0,0,0,0
00:00.2,7.82453,0,0,0,0,0,0,0,0,0
00:00.2,7.82453,0,0,0,0,0,0,0,0,0
00:00.2,7.6600237,0,0,0,0,0,0,-62.32118682,-34.53521912,-18.66228467
00:00.2,7.7880397,0,0,0,0,0,0,-62.61308861,-34.03927909,-18.74465334
00:00.2,7.7880397,0,0,0,0,0,0,-62.61308861,-34.03927909,-18.74465334
00:00.2,7.861619,0,0,0,0,0,0,-62.73922172,-33.92674489,-18.4323344
00:00.2,7.861619,0,0,0,0,0,0,-62.73922172,-33.92674489,-18.4323344
00:00.2,7.7030945,309.18436,-35.6872,14.819325,0,0,0,-61.71813576,-34.43599696,-18.36951544
00:00.2,7.7030945,309.18436,-35.6872,14.819325,0,0,0,-61.71813576,-34.43599696,-18.36951544
00:00.2,7.7030945,309.18436,-35.6872,14.819325,0,0,0,-61.71813576,-34.43599696,-18.36951544
00:00.2,7.7030945,309.18436,-35.6872,14.819325,0,0,0,-61.71813576,-34.43599696,-18.36951544
00:00.3,7.7120676,309.0994,-35.591484,14.666329,0,0,0,-61.94719981,-34.39122507,-18.45761122
00:00.3,7.7120676,309.0994,-35.591484,14.666329,0,0,0,-61.94719981,-34.39122507,-18.45761122
00:00.3,7.7120676,309.0994,-35.591484,14.666329,0,0,0,-61.94719981,-34.39122507,-18.45761122
00:00.3,7.7120676,309.0994,-35.591484,14.666329,0,0,0,-61.94719981,-34.39122507,-18.45761122
00:00.3,7.735996,309.03876,-35.47962,14.480427,0,0,0,-64.78995186,-33.79894864,-18.67519202
00:00.3,7.735996,309.03876,-35.47962,14.480427,0,0,0,-64.78995186,-33.79894864,-18.67519202
00:00.3,7.735996,309.03876,-35.47962,14.480427,0,0,0,-64.78995186,-33.79894864,-18.67519202
00:00.3,7.735996,309.03876,-35.47962,14.480427,0,0,0,-64.78995186,-33.79894864,-18.67519202
00:00.3,7.34118,308.94788,-35.29662,14.184155,0,0,0,-61.79283753,-35.70861489,-19.70822569
